"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:19pHSvXUwErAXFktkvYMk9","Hola Amigo","spotify:artist:5C1S9XwxMuuCciutwMhp5t, spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:1n6pjRJkTY5v8RtUCAv5pi","KR$NA, Seedhe Maut, Umair","spotify:album:4013u1RNEHieH8NwnN0vNh","FAR FROM OVER","spotify:artist:5C1S9XwxMuuCciutwMhp5t","KR$NA","2023-08-29","https://i.scdn.co/image/ab67616d0000b27383e257b20f473f0063cdd351","1","4","226285","https://p.scdn.co/mp3-preview/c0ab18a0f398f2ee72704eabe86e7f63d18921c1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","INK492300297","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1alInstEk6TQMuPyjCgI4K","Raat Ki Rani","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","spotify:album:6Mwca6sXGKb25VkAc1e6X3","SHAKTI","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","2024-08-15","https://i.scdn.co/image/ab67616d0000b2739750614dd177fa9137726f07","1","2","211200","https://p.scdn.co/mp3-preview/788e6be31bfcc5412c53460567c5919383166f9f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","DGA092444248","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3ue7PTXmpCbn3LXfkZWxll","Madira","spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:6OvPeLnrLk4v7X7tmjnOiO, spotify:artist:3mWqCmX0xuzBJN648XSBrE","Seedhe Maut, Hurricane, DL91 Era","spotify:album:2Jc0evKv7asNZMx32rQHrF","DL91 FM","spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:6OvPeLnrLk4v7X7tmjnOiO, spotify:artist:3mWqCmX0xuzBJN648XSBrE","Seedhe Maut, Hurricane, DL91 Era","2025-05-15","https://i.scdn.co/image/ab67616d0000b273a9e75a1283dfda275de82714","1","8","169846","https://p.scdn.co/mp3-preview/dc6752bbdcfcb66c1f7984199da555bf74b716a1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","QM6P42534243","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5gOnY5HODxz1b28te8eSAF","Khatta Flow","spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:5C1S9XwxMuuCciutwMhp5t","Seedhe Maut, KR$NA","spotify:album:6pfy67TobYnXA5vrNa2aCB","Lunch Break","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","2023-08-19","https://i.scdn.co/image/ab67616d0000b273486e6745e64f8a48b9347650","1","28","152415","https://p.scdn.co/mp3-preview/5c866cefb950ee908123d10a7082f4a88c668110?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","INA4Z2200140","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2ImHVd8DsAZkvfLRbis8wU","SHUTDOWN","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","spotify:album:3mETkI60G0xQCW6Rv8yebZ","SHUTDOWN","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","2024-06-27","https://i.scdn.co/image/ab67616d0000b273490b544e5b5174dee355b30a","1","1","116307","https://p.scdn.co/mp3-preview/53223c6cc09744324d3e9ec957543d2311931f3f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","TCAIL2474961","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1KHeGktpWHHKl8RVygYg3X","Namastute","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","spotify:album:33qQKSQVEeiZqFketHflZF","न","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","2021-09-08","https://i.scdn.co/image/ab67616d0000b273de3e6e16cf45b2a0c8695ca6","1","1","120187","https://p.scdn.co/mp3-preview/9586dcf6779465f5b8bbead938422d3c7719e17b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","ES71G2108603","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1p2gLYTKWepMg5zA782o2T","KODAK","spotify:artist:5NHm4TU5Twz7owibYxJfFU, spotify:artist:2oBG74gAocPMFv6Ij9ykdo","King, Seedhe Maut","spotify:album:5dkmnSddXf47ZX5IJ4WCtr","MONOPOLY MOVES","spotify:artist:5NHm4TU5Twz7owibYxJfFU","King","2024-08-02","https://i.scdn.co/image/ab67616d0000b2730be866d7779f5058a81e48c4","1","6","363203","https://p.scdn.co/mp3-preview/bb4df2b601e93e6658d0a0f690a8067eb9a35773?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","INW262403207","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3Ft9NAozKt7RwZUlH1m6sj","Luka Chippi","spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:1DnUEMDVBtdwVBPAok8Ws7","Seedhe Maut, Bandzo3rd","spotify:album:6pfy67TobYnXA5vrNa2aCB","Lunch Break","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","2023-08-19","https://i.scdn.co/image/ab67616d0000b273486e6745e64f8a48b9347650","1","21","141568","https://p.scdn.co/mp3-preview/cb084a93a8629409db955d80a386b85e54c4b8ec?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","INA4Z2200135","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3syqe1nnZ4eHjhsc0qM5UW","Naksha","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","spotify:album:6Mwca6sXGKb25VkAc1e6X3","SHAKTI","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","2024-08-15","https://i.scdn.co/image/ab67616d0000b2739750614dd177fa9137726f07","1","3","206400","https://p.scdn.co/mp3-preview/331d0929371937c8d3544e560fa99bea6b100149?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","DGA092444249","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3d4wYjp1fwSQmfOOEd5P0w","Nanchaku","spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:5uemEEtB1ZC3s1KM7gReeH","Seedhe Maut, MC STAN","spotify:album:33qQKSQVEeiZqFketHflZF","न","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","2021-09-08","https://i.scdn.co/image/ab67616d0000b273de3e6e16cf45b2a0c8695ca6","1","4","193116","https://p.scdn.co/mp3-preview/a78be1a87eb8ff0b5c9a3233f8abe557a83289a8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","ES71G2134956","spotify:user:","1970-01-01T00:00:00Z"
